prd_id,prd_name,prd_category,prd_brand,prd_cost,prd_price,prd_start_dt
SKU10001,SmartChoice Plus Bottle 1,Beverages,UrbanHome,1797.34,858.27,13/08/2021
SKU10002,PureLife Max Pack 2,Electronics,FreshMart,203.97,39.13,04/04/2019
SKU10003,TechPlus Premium Unit 3,Home & Kitchen,SmartChoice,1002.49,548.03,14/11/2024
SKU10004,FreshMart Everyday Set 4,Beverages,UrbanHome,591.12,1100.35,27/08/2022
SKU10005,HomePro Plus Set 5,Groceries,SmartChoice,428.28,2619.41,09/02/2023
SKU10006,TechPlus Classic Set 6,Home & Kitchen,ValueMax,1343.2,1469.69,28/07/2022
SKU10007,HomePro Everyday Unit 7,Dairy,GoodBuy,1804.83,499.44,14/08/2022
SKU10008,GoodBuy Premium Box 8,Personal Care,SmartChoice,1228.23,3926.85,24/02/2023
SKU10009,ValueMax Max Pack 9,Office Supplies,PrimeSelect,2055.59,459.66,14/11/2021
SKU10010,UrbanHome Everyday Box 10,Electronics,UrbanHome,2295.12,1439.83,24/11/2019
SKU10011,ValueMax Max Pack 11,Home & Kitchen,TechPlus,2021.81,3510.12,15/03/2019
SKU10012,GoodBuy Plus Set 12,Frozen Foods,FreshMart,2392.1,2620.88,11/09/2022
SKU10013,UrbanHome Plus Pack 13,Household,GoodBuy,2324.01,1299.6,10/04/2020
SKU10014,DailyChoice Plus Bottle 14,Snacks,TechPlus,2084.64,3882.28,09/02/2022
SKU10015,HomePro Max Pack 15,Personal Care,HomePro,745.73,2019.36,21/02/2023
SKU10016,GoodBuy Classic Pack 16,Electronics,PrimeSelect,452.34,62.2,29/01/2023
SKU10017,HomePro Everyday Set 17,Home & Kitchen,PrimeSelect,1822.99,54.47,26/02/2020
SKU10018,DailyChoice Plus Bottle 18,Dairy,HomePro,2116.91,3765.81,10/07/2023
SKU10019,GoodBuy Everyday Set 19,Groceries,FreshMart,2061.35,1146.29,10/06/2025
SKU10020,GoodBuy Classic Set 20,Beverages,GoodBuy,1616.18,3253.9,22/06/2021
SKU10021,GoodBuy Premium Unit 21,Electronics,HomePro,2078.07,202.93,24/10/2019
SKU10022,TechPlus Classic Pack 22,Personal Care,FreshMart,1773.77,613.26,14/06/2022
SKU10023,HomePro Everyday Box 23,Office Supplies,FreshMart,1670.11,3431.41,23/03/2023
SKU10024,PrimeSelect Everyday Pack 24,Dairy,PrimeSelect,135.51,3976.54,14/09/2021
SKU10025,FreshMart Max Pack 25,Groceries,TechPlus,1161.98,236.13,07/02/2023
SKU10026,PrimeSelect Everyday Bottle 26,Beverages,HomePro,103.94,695.52,28/03/2024
SKU10027,UrbanHome Classic Unit 27,Frozen Foods,DailyChoice,249.08,2899.96,16/12/2022
SKU10028,PureLife Max Pack 28,Personal Care,PureLife,1361.69,2132.13,14/06/2024
SKU10029,HomePro Max Unit 29,Electronics,PrimeSelect,137.75,1641.69,01/01/2020
SKU10030,PrimeSelect Classic Unit 30,Household,SmartChoice,2284.79,802.04,02/01/2021
SKU10031,SmartChoice Plus Bottle 31,Household,HomePro,1136.85,3783.38,20/10/2022
SKU10032,SmartChoice Premium Box 32,Personal Care,UrbanHome,1755.92,713.91,10/10/2020
SKU10033,PureLife Premium Pack 33,Household,PrimeSelect,386.53,1083.04,31/13/2022
SKU10034,DailyChoice Plus Bottle 34,Beverages,HomePro,2122.04,1317.46,23/08/2023
SKU10035,PureLife Classic Box 35,Personal Care,GoodBuy,1205.61,580.18,26/10/2021
SKU10036,GoodBuy Plus Bottle 36,Personal Care,DailyChoice,1405.76,2158.85,19/04/2024
SKU10037,GoodBuy Plus Unit 37,Home & Kitchen,HomePro,1628.24,1385.06,24/09/2025
SKU10038,PureLife Plus Unit 38,Personal Care,ValueMax,1358.95,2443.15,28/01/2019
SKU10039,DailyChoice Classic Unit 39,Electronics,UrbanHome,1416.7,1490.4,24/10/2022
SKU10040,PureLife Plus Box 40,Personal Care,FreshMart,1866.42,492.2,04/12/2021
SKU10041,GoodBuy Everyday Pack 41,Personal Care,SmartChoice,2020.05,3494.21,02/03/2024
SKU10042,ValueMax Max Box 42,Home & Kitchen,PrimeSelect,779.29,2053.32,08/02/2021
SKU10043,GoodBuy Premium Bottle 43,Office Supplies,FreshMart,2306.68,1307.75,24/03/2021
SKU10044,FreshMart Premium Pack 44,Groceries,ValueMax,897.66,94.97,31/03/2024
SKU10045,GoodBuy Premium Pack 45,Personal Care,UrbanHome,695.37,2403.45,04/02/2025
SKU10046,SmartChoice Plus Box 46,Beverages,FreshMart,792.35,3136.54,25/12/2019
SKU10047,FreshMart Classic Unit 47,Electronics,DailyChoice,909.12,2610.74,17/03/2023
SKU10048,PrimeSelect Classic Box 48,Household,FreshMart,805.99,3157.25,29/04/2024
SKU10049,ValueMax Classic Pack 49,Beverages,ValueMax,2112.5,645.29,16/02/2020
SKU10050,PureLife Max Box 50,Frozen Foods,PureLife,1411.66,3887.66,12/07/2023
SKU10051,TechPlus Plus Box 51,Office Supplies,FreshMart,2419.76,868.99,15/09/2025
SKU10052,DailyChoice Max Set 52,Office Supplies,HomePro,228.21,1089.12,08/10/2024
SKU10053,TechPlus Premium Unit 53,Office Supplies,PureLife,1542.67,2063.95,01/05/2020
SKU10054,PrimeSelect Premium Unit 54,Groceries,GoodBuy,258.14,50.63,11/10/2025
SKU10055,DailyChoice Classic Unit 55,Office Supplies,UrbanHome,1157.95,1786.52,11/06/2021
SKU10056,ValueMax Premium Set 56,Home & Kitchen,DailyChoice,969.18,807.03,06/04/2022
SKU10057,FreshMart Plus Box 57,Home & Kitchen,UrbanHome,1708.32,3003.6,29/12/2020
SKU10058,PrimeSelect Plus Set 58,Home & Kitchen,SmartChoice,1868.7,3038.28,15/10/2023
SKU10059,GoodBuy Classic Box 59,Home & Kitchen,UrbanHome,610.47,2474.47,11/11/2019
SKU10060,FreshMart Max Unit 60,Beverages,ValueMax,500.41,1704.09,10/11/2023
SKU10061,SmartChoice Plus Bottle 61,Personal Care,TechPlus,1060.39,1261.63,19/05/2019
SKU10062,FreshMart Premium Box 62,Dairy,FreshMart,620.13,3315.02,31/13/2022
